timestamp,frame,point_id,x_m,y_m,z_m,azimuth_rad,snr
2026-03-12 13:19:29.045,37,0,-3.082157,1.093035,0.731287,-1.230000,7.36
2026-03-12 13:19:29.045,37,1,-3.139345,1.043121,0.844699,-1.250000,10.52
2026-03-12 13:19:29.045,37,2,3.163018,1.015980,1.027672,1.260000,7.36
2026-03-12 13:19:29.045,37,3,-3.047984,1.184994,0.731287,-1.200000,7.52
2026-03-12 13:19:29.045,37,4,-3.106643,1.136818,0.844699,-1.220000,10.64
2026-03-12 13:19:29.045,37,5,-3.011069,1.275887,0.731287,-1.170000,7.00
2026-03-12 13:19:29.045,37,6,-3.071146,1.229492,0.844699,-1.190000,10.00
2026-03-12 13:19:29.045,37,7,-3.131120,1.110399,1.027672,-1.230000,6.76
2026-03-12 13:19:29.045,37,8,-2.984950,1.335849,0.731287,-1.150000,6.24
2026-03-12 13:19:29.045,37,9,-3.032885,1.321059,0.844699,-1.160000,8.76
2026-03-12 13:19:29.045,37,10,-3.096404,1.203819,1.027672,-1.200000,6.12
2026-03-12 13:19:29.045,37,11,-2.941657,1.460359,0.665741,-1.110000,5.36
2026-03-12 13:19:29.045,37,12,-3.005859,1.381448,0.844699,-1.140000,7.36
2026-03-12 13:19:29.045,37,13,-3.058902,1.296155,1.027672,-1.170000,5.36
2026-03-12 13:19:29.045,37,14,-2.969465,1.511363,0.745091,-1.100000,6.12
2026-03-12 13:19:29.045,37,15,-2.938646,1.570446,0.745091,-1.080000,5.12
2026-03-12 13:19:29.145,39,0,2.032264,6.569757,1.039342,0.300000,5.36
2026-03-12 13:19:29.145,39,1,2.110115,6.587368,1.187364,0.310000,7.36
2026-03-12 13:19:29.263,41,0,-3.188070,1.130595,1.046363,-1.230000,7.24
2026-03-12 13:19:29.263,41,1,-3.245020,1.150792,1.065055,-1.230000,7.64
2026-03-12 13:19:29.263,41,2,-3.146302,1.296233,0.978506,-1.180000,7.24
2026-03-12 13:19:29.263,41,3,-3.212701,1.175628,1.133698,-1.220000,7.64
