timestamp,frame,point_id,x_m,y_m,z_m,azimuth_rad,snr
2026-03-16 10:02:44.717,36,0,-0.357736,0.245159,0.087911,-0.970000,5.76
2026-03-16 10:02:44.717,36,1,-0.398578,0.291096,0.110370,-0.940000,5.36
2026-03-16 10:02:44.717,36,2,-0.117993,0.210942,0.074767,-0.510000,26.76
2026-03-16 10:02:44.717,36,3,-0.117993,0.210942,0.074767,-0.510000,12.52
2026-03-16 10:02:44.717,36,4,-0.117993,0.210942,0.074767,-0.510000,8.24
2026-03-16 10:02:44.717,36,5,-0.117993,0.210942,0.074767,-0.510000,6.00
2026-03-16 10:02:44.717,36,6,-0.143039,0.268171,0.087397,-0.490000,5.52
2026-03-16 10:02:44.717,36,7,-0.020359,0.678431,0.151779,-0.030000,13.24
2026-03-16 10:02:44.717,36,8,-0.013574,0.678601,0.151779,-0.020000,15.36
2026-03-16 10:02:44.717,36,9,-0.006196,0.619616,0.125609,-0.010000,12.00
2026-03-16 10:02:44.717,36,10,-0.006787,0.678703,0.151779,-0.010000,15.64
2026-03-16 10:02:44.717,36,11,0.000000,0.678737,0.151779,0.000000,13.88
2026-03-16 10:02:44.717,36,12,0.005626,0.562583,0.085030,0.010000,5.88
2026-03-16 10:02:44.717,36,13,0.006787,0.678703,0.151779,0.010000,11.12
2026-03-16 10:02:44.717,36,14,0.007404,0.740425,0.165582,0.010000,8.24
2026-03-16 10:02:44.717,36,15,0.185664,0.830269,0.244644,0.220000,5.36
2026-03-16 10:02:44.773,37,0,-0.414186,0.283844,0.060544,-0.970000,5.12
2026-03-16 10:02:44.773,37,1,-0.408426,0.292071,0.060544,-0.950000,5.64
2026-03-16 10:02:44.773,37,2,-0.352166,0.262639,0.052973,-0.930000,5.24
2026-03-16 10:02:44.773,37,3,-0.402504,0.300180,0.060544,-0.930000,5.88
2026-03-16 10:02:44.773,37,4,-0.349522,0.266148,0.052973,-0.920000,5.64
2026-03-16 10:02:44.773,37,5,-0.344129,0.273084,0.052973,-0.900000,5.64
2026-03-16 10:02:44.773,37,6,-0.115877,0.212112,0.074767,-0.500000,38.64
2026-03-16 10:02:44.773,37,7,-0.115877,0.212112,0.074767,-0.500000,16.24
2026-03-16 10:02:44.773,37,8,-0.115877,0.212112,0.074767,-0.500000,9.76
2026-03-16 10:02:44.773,37,9,-0.115877,0.212112,0.074767,-0.500000,7.00
2026-03-16 10:02:44.773,37,10,-0.144847,0.265140,0.093458,-0.500000,5.36
2026-03-16 10:02:44.773,37,11,-0.040408,0.672666,0.172069,-0.060000,8.36
2026-03-16 10:02:44.773,37,12,-0.037166,0.742696,0.150740,-0.050000,7.00
2026-03-16 10:02:44.773,37,13,-0.024779,0.619151,0.125609,-0.040000,8.12
2026-03-16 10:02:44.773,37,14,-0.033680,0.673036,0.172069,-0.050000,12.24
2026-03-16 10:02:44.773,37,15,-0.029737,0.743031,0.150740,-0.040000,9.00
2026-03-16 10:02:44.773,37,16,-0.018587,0.619368,0.125609,-0.030000,10.12
2026-03-16 10:02:44.773,37,17,-0.020213,0.673575,0.172069,-0.030000,17.36
2026-03-16 10:02:44.773,37,18,-0.022305,0.743291,0.150740,-0.030000,10.76
2026-03-16 10:02:44.773,37,19,-0.012392,0.619523,0.125609,-0.020000,11.24
2026-03-16 10:02:44.773,37,20,-0.013477,0.673744,0.172069,-0.020000,21.24
