timestamp,frame,point_id,x_m,y_m,z_m,azimuth_rad,snr
2026-03-16 10:05:56.282,36,0,-3.957481,4.512172,1.988926,-0.720000,6.64
2026-03-16 10:05:56.282,36,1,-3.873026,4.505989,1.969029,-0.710000,5.52
2026-03-16 10:05:56.282,36,2,0.019803,0.659896,0.218781,0.030000,6.12
2026-03-16 10:05:56.282,36,3,0.043188,0.718936,0.238677,0.060000,7.00
2026-03-16 10:05:56.282,36,4,0.070130,0.777114,0.258574,0.090000,7.00
2026-03-16 10:05:56.336,37,0,-5.498258,4.186713,1.545393,-0.920000,5.00
2026-03-16 10:05:56.336,37,1,-5.335359,4.410612,1.767578,-0.880000,6.00
2026-03-16 10:05:56.336,37,2,-0.038997,0.779296,0.258574,-0.050000,12.24
2026-03-16 10:05:56.336,37,3,-0.028802,0.719656,0.238677,-0.040000,10.64
2026-03-16 10:05:56.336,37,4,-0.031203,0.779647,0.258574,-0.040000,16.24
2026-03-16 10:05:56.336,37,5,-0.013203,0.660061,0.218781,-0.020000,8.64
2026-03-16 10:05:56.336,37,6,-0.014404,0.720088,0.238677,-0.020000,15.76
2026-03-16 10:05:56.336,37,7,-0.015604,0.780116,0.258574,-0.020000,20.12
2026-03-16 10:05:56.336,37,8,-0.006602,0.660160,0.218781,-0.010000,12.64
2026-03-16 10:05:56.336,37,9,-0.007202,0.720196,0.238677,-0.010000,22.64
2026-03-16 10:05:56.336,37,10,-0.007803,0.780233,0.258574,-0.010000,21.24
2026-03-16 10:05:56.336,37,11,0.000000,0.600154,0.198885,0.000000,7.76
2026-03-16 10:05:56.336,37,12,0.000000,0.660193,0.218781,0.000000,17.88
2026-03-16 10:05:56.336,37,13,0.000000,0.720232,0.238677,0.000000,28.00
2026-03-16 10:05:56.336,37,14,0.000000,0.780272,0.258574,0.000000,18.76
2026-03-16 10:05:56.336,37,15,0.006001,0.600124,0.198885,0.010000,10.12
2026-03-16 10:05:56.336,37,16,0.006602,0.660160,0.218781,0.010000,21.76
2026-03-16 10:05:56.336,37,17,0.007202,0.720196,0.238677,0.010000,26.00
2026-03-16 10:05:56.336,37,18,0.007803,0.780233,0.258574,0.010000,14.64
2026-03-16 10:05:56.336,37,19,0.012002,0.600034,0.198885,0.020000,11.64
2026-03-16 10:05:56.336,37,20,0.013203,0.660061,0.218781,0.020000,20.00
2026-03-16 10:05:56.336,37,21,0.014404,0.720088,0.238677,0.020000,19.12
2026-03-16 10:05:56.336,37,22,0.015604,0.780116,0.258574,0.020000,10.88
2026-03-16 10:05:56.336,37,23,0.018002,0.599884,0.198885,0.030000,11.24
2026-03-16 10:05:56.336,37,24,0.019803,0.659896,0.218781,0.030000,14.88
2026-03-16 10:05:56.336,37,25,0.021604,0.719908,0.238677,0.030000,13.12
2026-03-16 10:05:56.336,37,26,0.024000,0.599674,0.198885,0.040000,9.36
2026-03-16 10:05:56.336,37,27,0.026401,0.659665,0.218781,0.040000,10.24
2026-03-16 10:05:56.336,37,28,0.028802,0.719656,0.238677,0.040000,9.00
2026-03-16 10:05:56.336,37,29,0.030188,0.603257,0.186843,0.050000,7.24
2026-03-16 10:05:56.393,38,0,0.029995,0.599404,0.198885,0.050000,8.52
