timestamp,frame,point_id,x_m,y_m,z_m,azimuth_rad,snr
2026-03-13 17:25:53.777,53,0,-0.228651,0.073444,0.079585,-1.260000,5.12
2026-03-13 17:25:54.273,62,0,-0.140521,0.192728,-0.084372,-0.630000,5.64
2026-03-13 17:25:54.436,65,0,-0.230122,0.089467,-0.055212,-1.200000,5.00
2026-03-13 17:25:54.436,65,1,-3.645580,1.091050,1.177131,-1.280000,5.64
2026-03-13 17:25:54.605,68,0,3.349888,1.302368,0.728570,1.200000,5.36
2026-03-13 17:25:54.605,68,1,-3.485568,1.119585,1.213205,-1.260000,11.00
2026-03-13 17:25:54.605,68,2,-3.542731,1.137946,1.233101,-1.260000,5.00
2026-03-13 17:25:54.661,69,0,0.059463,0.242989,0.037808,0.240000,5.00
2026-03-13 17:25:54.661,69,1,3.459774,1.149591,1.048355,1.250000,6.52
2026-03-13 17:25:54.715,70,0,3.356203,1.304823,1.193308,1.200000,8.00
2026-03-13 17:25:54.715,70,1,3.334202,1.258036,1.102364,1.210000,9.64
2026-03-13 17:25:54.715,70,2,3.309791,1.211156,1.013465,1.220000,7.00
2026-03-13 17:25:54.715,70,3,3.291134,1.167145,0.891644,1.230000,5.12
2026-03-13 17:25:54.770,71,0,3.334202,1.258036,1.102364,1.210000,8.36
2026-03-13 17:25:54.770,71,1,3.313514,1.137910,1.083747,1.240000,9.64
2026-03-13 17:25:54.770,71,2,3.290687,1.241617,0.786500,1.210000,7.76
2026-03-13 17:25:54.828,72,0,3.243273,1.451456,0.907292,1.150000,9.52
2026-03-13 17:25:54.828,72,1,3.286718,1.431623,1.030876,1.160000,6.88
2026-03-13 17:25:54.828,72,2,3.224520,1.404531,0.786500,1.160000,9.88
2026-03-13 17:25:54.828,72,3,3.138085,1.329708,0.690873,1.170000,5.00
2026-03-13 17:25:54.828,72,4,3.195162,1.353893,0.703438,1.170000,8.00
2026-03-13 17:25:54.883,73,0,3.260649,1.618720,0.814051,1.110000,5.00
2026-03-13 17:25:54.883,73,1,3.119750,1.358895,0.978506,1.160000,16.36
2026-03-13 17:25:54.883,73,2,3.175480,1.383170,0.995986,1.160000,13.00
2026-03-13 17:25:54.883,73,3,3.231209,1.407445,1.013465,1.160000,9.36
2026-03-13 17:25:54.883,73,4,3.102371,1.314574,0.860347,1.170000,12.00
2026-03-13 17:25:54.940,74,0,3.025242,1.464331,1.113802,1.120000,14.12
2026-03-13 17:25:54.940,74,1,3.079284,1.490489,1.133698,1.120000,11.24
2026-03-13 17:25:54.940,74,2,2.949973,1.391661,1.008980,1.130000,7.24
2026-03-13 17:25:54.940,74,3,2.999369,1.378465,1.093905,1.140000,15.64
2026-03-13 17:25:54.940,74,4,3.053922,1.403537,1.113802,1.140000,15.24
2026-03-13 17:25:54.940,74,5,3.108476,1.428610,1.133698,1.140000,12.00
2026-03-13 17:25:54.940,74,6,3.156828,1.567179,1.013465,1.110000,5.76
2026-03-13 17:25:54.940,74,7,3.279016,1.752344,0.753652,1.080000,5.12
2026-03-13 17:25:54.940,74,8,3.094648,1.311302,1.113802,1.170000,14.00
2026-03-13 17:25:54.994,75,0,2.960754,1.506929,1.027672,1.100000,12.76
2026-03-13 17:25:54.994,75,1,3.187647,1.703515,0.922879,1.080000,5.12
2026-03-13 17:25:54.994,75,2,3.004623,1.417442,1.027672,1.130000,13.24
2026-03-13 17:25:54.994,75,3,3.059272,1.443223,1.046363,1.130000,11.52
2026-03-13 17:25:54.994,75,4,3.118386,1.626623,0.786500,1.090000,5.00
2026-03-13 17:25:54.994,75,5,2.926251,1.344862,0.926068,1.140000,10.88
2026-03-13 17:25:54.994,75,6,2.981484,1.370246,0.943547,1.140000,17.88
2026-03-13 17:25:54.994,75,7,3.032369,1.357070,1.027672,1.150000,12.24
2026-03-13 17:25:54.994,75,8,2.909533,1.198687,0.703681,1.180000,6.88
2026-03-13 17:25:55.051,76,0,-0.207112,0.121572,0.079585,-1.040000,5.36
2026-03-13 17:25:55.051,76,1,2.979959,1.749198,0.772697,1.040000,5.64
2026-03-13 17:25:55.051,76,2,2.963170,1.545659,0.961027,1.090000,8.88
2026-03-13 17:25:55.051,76,3,2.884595,1.432031,0.926068,1.110000,14.36
2026-03-13 17:25:55.051,76,4,2.949973,1.391661,1.008980,1.130000,13.00
2026-03-13 17:25:55.051,76,5,2.873855,1.426700,0.717484,1.110000,7.52
2026-03-13 17:25:55.107,77,0,2.852805,1.598725,0.731287,1.060000,15.36
2026-03-13 17:25:55.107,77,1,2.902565,1.664969,0.678307,1.050000,8.12
2026-03-13 17:25:55.107,77,2,2.790021,1.455340,0.703681,1.090000,12.00
