,importance
z_std,0.11855013816100338
z_mean,0.09654967015682445
z_range,0.08530057391765085
z_spread,0.07706522806461133
snr_max,0.05789434103528369
bbox_volume,0.05262721222248834
range_max,0.047824627441456685
snr_mean,0.043497479583671596
z_frac_above,0.04224690491069949
snr_range,0.035655592273490674
y_mean,0.03183994589606822
n_points,0.03101541853202579
bbox_area_xy,0.03047939094420861
point_density,0.029948256705259794
x_mean,0.026157186967232852
range_mean,0.0247913551577183
centroid_dist,0.024438127060574192
range_min,0.018733031283712696
range_std,0.01796500453068614
snr_std,0.017344867715920767
x_range,0.016520270997741716
y_range,0.014575468790206362
y_std,0.012048176525879695
az_range,0.010943434330325297
x_std,0.009346611084994462
az_std,0.00805235851650467
aspect_xy,0.006631015921415622
aspect_xz,0.006194337553421745
snr_min,0.005763973718922431
